skill,id,name,x,y,group,orbit,orbitIndex,isNotable,isKeystone,isJewelSocket
25092,AscendancyDruid1Small7,Critical Damage Bonus on You,-22257.9,-2725.84,2,0,0,False,False,False
378,AscendancyDruid1Small8,Critical Hit Chance,-20970.1,-3158.38,35,0,0,False,False,False
58646,AscendancyDruid2Notable4,Reactive Growth,-18567.2,-2394.45,65,6,26,True,False,False
28022,AscendancyDruid2Small1,Elemental Damage,-18931.4,-1894.41,65,8,33,False,False,False
61722,AscendancyDruid2Small4_,Elemental Resistances,-19209.9,-2094.74,65,6,36,False,False,False
1855,AscendancyDruid2Small7,Flask Recovery,-20048.9,-2933.74,65,6,54,False,False,False
24807,AscendancyWarrior1Notable8,Stone Skin,-18659.6,3126.31,69,0,0,True,False,False
46654,AscendancyDruid2Small5,Elemental Resistances,-18567.2,-2954.17,71,0,0,False,False,False
26063,AscendancyDruid2Small2,Elemental Damage,-18298.9,-3046.83,73,0,0,False,False,False
18353,oracle_rust_king1,Physical and Lightning Damage,-11017.2,962.236,88,6,20,False,False,False
42762,oracle_rust_king2,Physical Damage,-12243.2,536.64,88,4,61,False,False,False
11984,oracle_rust_king3,Physical Damage,-11563.5,416.799,88,4,7,False,False,False
20496,oracle_rust_king4,Physical Damage,-11509.4,816.545,88,3,6,False,False,False
3544,oracle_rust_king5_,Lightning Damage,-11626.9,941.545,88,7,8,False,False,False
19953,oracle_rust_king6,Lightning Damage,-11718.4,600.039,88,7,2,False,False,False
50142,oracle_rust_king7,Lightning Damage,-12302,649.639,88,4,58,False,False,False
58197,oracle_rust_king8,Unquenchable Iron,-12570,397.045,88,6,60,True,False,False
35980,oracle_rust_king_mastery1,Lightning Mastery,-11843.4,816.545,88,0,0,False,False,False
28201,oracle_crab_claw1,Armour and Block Chance,-10909.3,-3219.7,91,4,21,False,False,False
56174,oracle_crab_claw2,Armour,-11058.1,-3432.45,91,3,5,False,False,False
1887,oracle_crab_claw3,Armour,-11213.7,-3635.26,91,3,2,False,False,False
10713,oracle_crab_claw4__,Armour,-11467.2,-3668.62,91,3,23,False,False,False
16615,oracle_crab_claw5,Unmoving Craiceann,-11803.3,-3590,91,4,60,True,False,False
10636,oracle_crab_claw6,Block Chance,-11144.5,-3109.83,91,3,9,False,False,False
38697,oracle_crab_claw7,Block Chance,-11380.7,-3012,91,3,12,False,False,False
