skill,id,name,x,y,group,orbit,orbitIndex,isNotable,isKeystone,isJewelSocket
root,,,,,0,0,0,False,False,False
42761,AscendancyDruid1Start,Oracle,-22597.4,-2727.53,1,0,0,False,False,False
25092,AscendancyDruid1Small7,Critical Damage Bonus on You,-22257.9,-2725.84,2,0,0,False,False,False
41311,,,-22983.6,-6094,3,6,48,False,False,False
2275,,,-22257,-5674.5,3,6,36,False,False,False
63764,,,-22737.5,-6428.75,3,4,52,False,False,False
25881,,,-22172.2,-6032.91,3,4,34,False,False,False
13663,,,-22382,-6730,3,7,22,False,False,False
4986,,,-22874.3,-6288.79,3,5,50,False,False,False
15918,,,-22474.1,-7323.91,3,6,69,False,False,False
46103,,,-21837.5,-7240.09,3,6,6,False,False,False
44889,,,-23096,-6513.5,3,6,54,False,False,False
63633,,,-22676.5,-5786.9,3,6,42,False,False,False
23443,,,-22463.2,-6955.77,3,4,67,False,False,False
33239,,,-22536.9,-6113.75,3,4,43,False,False,False
23732,,,-22679.6,-6757.5,3,4,60,False,False,False
35998,,,-22891.6,-6683.54,3,5,57,False,False,False
21974,,,-22796.3,-7156.21,3,6,64,False,False,False
47526,,,-22183.8,-7349.3,3,6,1,False,False,False
35715,,,-22983.6,-6933,3,6,60,False,False,False
11335,AscendancyDruid1Small1,Passive Point,-22256.7,-2244.46,4,0,0,False,False,False
22541,AscendancyWarrior3Notable1,Heat of the Forge,-22167.2,6439.13,5,0,0,True,False,False
5386,AscendancyWarrior3Small1,Fire Damage,-22167.2,6819.83,6,0,0,False,False,False
15275,AscendancyDruid1Small6,Totem Cast and Attack Speed,-22028.3,-2725.84,7,0,0,False,False,False
21284,AscendancyDruid1Small3,Life and Mana Regeneration Rate,-22028.3,-2474.27,8,0,0,False,False,False
57959,AscendancyWarrior3Notable4,Coal Stoker,-21954.6,6074.6,9,0,0,True,False,False
14960,AscendancyWarrior3Small4,Fire Resistance,-21954.6,6819.83,10,0,0,False,False,False
5571,AscendancyDruid1Notable2,The Unseen Path,-21908.3,-1798.32,11,0,0,True,False,False
34313,AscendancyDruid1Notable7,The Lesser Harm,-21908.3,-3157.38,12,0,0,True,False,False
56505,AscendancyDruid1Small4,Immobilisation Buildup,-21908.3,-2587.38,13,0,0,False,False,False
39659,AscendancyDruid1Small5,Spell Damage,-21908.3,-2359.31,14,0,0,False,False,False
60298,AscendancyWarrior3Notable3,Against the Anvil,-21742.6,6439.13,15,0,0,True,False,False
47236,AscendancyWarrior3Small3,Melee Damage,-21742.6,6819.83,16,0,0,False,False,False
47184,AscendancyWarrior3Notable2,Living Weapon,-21530.6,6439.13,17,0,0,True,False,False
20895,AscendancyWarrior3Small2,Strength,-21530.6,6819.83,18,0,0,False,False,False
64962,AscendancyWarrior3Notable6_11,Dedication to Kitava,-21528.1,7558.75,19,0,0,True,False,False
110,AscendancyWarrior3Notable6_10,Internal Layer,-21471,7718.69,20,0,0,True,False,False
52374,AscendancyDruid1Notable6,Unnamed Heartwood,-21437.2,-2913.72,21,0,0,True,False,False
30904,AscendancyDruid1Notable3,Harmony Within,-21437.2,-2474.27,22,0,0,True,False,False
32905,AscendancyDruid1Notable1,Entwined Realities,-20590.2,-2324.46,23,6,20,True,False,False
55135,AscendancyDruid1Notable8,Forced Outcome,-20590.2,-2615.85,23,6,16,True,False,False
22908,AscendancyWarrior3Notable6_6,Tribute to Utula,-21373.2,7868.53,24,0,0,True,False,False
48537,AscendancyWarrior3Notable5,Forged in Flame,-21318.6,6439.13,25,0,0,True,False,False
63401,AscendancyWarrior3Small5,Fire Resistance,-21318.5,6074.6,26,0,0,False,False,False
8525,AscendancyWarrior3Notable6_7,Leather Bindings,-21238.3,7993.38,27,0,0,True,False,False
49380,AscendancyWarrior2Small2,Armour Break,-21155.2,4078.1,28,0,0,False,False,False
58704,AscendancyWarrior2Notable1,Anvil's Weight,-21155.2,4441.1,29,0,0,True,False,False
38769,AscendancyWarrior2Small1,Armour Break,-21155.2,4804.1,30,0,0,False,False,False
36659,AscendancyWarrior2Notable2,Imploding Impacts,-21088.1,3827.93,31,0,0,True,False,False
9997,AscendancyWarrior3Notable6_9,Molten Symbol,-21079.7,8080.09,32,0,0,True,False,False
6127,AscendancyWarrior2Notable3,Jade Heritage,-20998.4,4249.81,33,0,0,True,False,False
18585,AscendancyWarrior2Small3,Armour,-20998.4,4662.96,34,0,0,False,False,False
378,AscendancyDruid1Small8,Critical Hit Chance,-20970.1,-3158.38,35,0,0,False,False,False
4197,AscendancyDruid1Notable4,Converging Paths,-20970.1,-2587.38,36,0,0,True,False,False
37782,AscendancyDruid1Notable5,Fateful Vision,-20970.1,-2359.33,37,0,0,True,False,False
47190,AscendancyDruid1Small2,Passive Point,-20970.1,-1798.32,38,0,0,False,False,False
13772,AscendancyWarrior3Notable6_8,Flowing Metal,-20909.6,8123.71,39,0,0,True,False,False
40915,AscendancyWarrior2Notable7,Wooden Wall,-20900.7,3827.89,40,0,0,True,False,False
5852,AscendancyWarrior3Start,Smith of Kitava,-21978.9,7459.09,41,9,96,False,False,False
1994,AscendancyWarrior2Small5,Warcry Speed,-20833.8,5342.08,42,0,0,False,False,False
48682,AscendancyWarrior2Small7_,Totem Life,-20833.7,4078.1,43,0,0,False,False,False
39411,AscendancyWarrior2Notable6,Answered Call,-20833.7,4441.1,44,0,0,True,False,False
25935,AscendancyWarrior2Small8,Block Chance,-20833.7,5167.88,45,0,0,False,False,False
39365,AscendancyWarrior2Small6,Totem Life,-20833,4804.1,46,0,0,False,False,False
9988,AscendancyWarrior3Notable6_0,Smith's Masterwork,-20817.8,7459.09,47,0,0,True,False,False
25438,AscendancyWarrior3Notable6_12_,Heatproofing,-20726.4,8123.71,48,0,0,True,False,False
49340,AscendancyWarrior3Notable6_4_,Support Straps,-20559.1,8080.09,49,0,0,True,False,False
35535,AscendancyDruid2Start,Shaman,-20479.7,-3530.3,50,0,0,False,False,False
33812,AscendancyWarrior2Start,Brute,-21155.2,5167.88,51,6,48,False,False,False
60913,AscendancyWarrior3Notable6_5,Kitavan Engraving,-20401.3,7993.38,52,0,0,True,False,False
47097,AscendancyWarrior2Notable4_,Warcaller's Bellow,-20379.9,5421.12,53,0,0,True,False,False
23005,AscendancyWarrior2Notable8,Renly's Training,-20376.1,5090.69,54,0,0,True,False,False
61039,AscendancyWarrior3Notable6_1,Tantalum Alloy,-20277.3,7868.53,55,0,0,True,False,False
20195,AscendancyWarrior3Notable6_3,Spiked Plates,-20185.1,7718.69,56,0,0,True,False,False
16276,AscendancyWarrior3Notable6_2,Kitavan Imprint,-20110.7,7558.75,57,0,0,True,False,False
16204,AscendancyDruid2Notable7,Sacred Flow,-20048.9,-3366.88,58,0,0,True,False,False
10072,AscendancyWarrior2Small9,Block Chance,-20005.1,5031,59,0,0,False,False,False
52068,AscendancyWarrior2Notable9,Turtle Charm,-19976.2,5450.01,60,0,0,True,False,False
47628,,,-20516.5,-6428.68,61,6,49,False,False,False
51455,,,-19756.1,-5944.25,61,6,36,False,False,False
62882,,,-19973.3,-7593.67,61,6,69,False,False,False
28385,,,-19274.9,-7470.52,61,6,7,False,False,False
54063,,,-19512.1,-7205.88,61,4,6,False,False,False
2187,,,-20178.7,-6539.25,61,4,48,False,False,False
18096,,,-19972.6,-6658.25,61,7,16,False,False,False
20211,,,-19820.8,-7024.74,61,7,23,False,False,False
443,,,-20591.9,-6856.38,61,6,55,False,False,False
32191,,,-20175.6,-6056.66,61,6,42,False,False,False
49398,,,-20295.4,-7425.97,61,6,64,False,False,False
15462,,,-19539,-7593.67,61,6,3,False,False,False
9216,,,-19923,-7241.82,61,4,68,False,False,False
21676,,,-20413.1,-6783.25,61,5,54,False,False,False
45846,,,-20236.7,-6868,61,4,56,False,False,False
23641,,,-20101.2,-7128.32,61,4,63,False,False,False
26353,,,-20482.7,-7202.75,61,6,60,False,False,False
42253,AscendancyDruid2Notable8,Wisdom of the Maji,-19751.6,-2934.42,62,0,0,True,False,False
33824,AscendancyDruid2Small8,Defences,-19751.6,-2501.42,63,0,0,False,False,False
54512,AscendancyDruid2Small3,Maximum Rage,-19474.5,-2267.34,64,0,0,False,False,False
58646,AscendancyDruid2Notable4,Reactive Growth,-18567.2,-2394.45,65,6,26,True,False,False
28022,AscendancyDruid2Small1,Elemental Damage,-18931.4,-1894.41,65,8,33,False,False,False
61722,AscendancyDruid2Small4_,Elemental Resistances,-19209.9,-2094.74,65,6,36,False,False,False
1855,AscendancyDruid2Small7,Flask Recovery,-20048.9,-2933.74,65,6,54,False,False,False
35762,AscendancyDruid2Notable6,Furious Wellspring,-18771.8,-3366.88,66,0,0,True,False,False
35920,AscendancyDruid2Small6,Maximum Rage,-18771.8,-2891.07,67,0,0,False,False,False
56933,AscendancyDruid2Notable3,Druidic Champion,-18771.8,-2394.41,68,0,0,True,False,False
24807,AscendancyWarrior1Notable8,Stone Skin,-18659.6,3126.31,69,0,0,True,False,False
61983,AscendancyDruid2Notable5,Avatar of Evolution,-18567.2,-3513.86,70,0,0,True,False,False
46654,AscendancyDruid2Small5,Elemental Resistances,-18567.2,-2954.17,71,0,0,False,False,False
28745,AscendancyDruid2Notable2,Bringer of the Apocalypse,-18302.1,-3694.04,72,0,0,True,False,False
26063,AscendancyDruid2Small2,Elemental Damage,-18298.9,-3046.83,73,0,0,False,False,False
62523,AscendancyDruid2Notable1,Turning of the Seasons,-18297,-2394.44,74,0,0,True,False,False
38014,AscendancyWarrior1Small2,Slam Area of Effect,-18262.7,2903.41,75,0,0,False,False,False
42275,AscendancyWarrior1Notable1,Earthbreaker,-18084.8,3412.2,76,0,0,True,False,False
3762,AscendancyWarrior1Notable2,Ancestral Empowerment,-18797,2792.42,77,9,125,True,False,False
59540,AscendancyWarrior1Notable3,Mountain Splitter,-17538.1,4972.91,77,9,67,True,False,False
30115,AscendancyWarrior1Notable5,Hulking Form,-18040.3,3809.19,77,7,16,True,False,False
60634,AscendancyWarrior1Notable6,Colossal Capacity,-18392.8,4012.69,77,5,48,True,False,False
35453,AscendancyWarrior1Small1,Slam Area of Effect,-18470.8,3798.28,77,5,52,False,False,False
13715,AscendancyWarrior1Small3,Stun Buildup,-18246.1,4187.49,77,5,44,False,False,False
19424,AscendancyWarrior1Small5,Strength,-18550.4,4103.69,77,6,48,False,False,False
27418,AscendancyWarrior1Small6,Strength,-18246.4,3928.19,77,4,48,False,False,False
51690,AscendancyWarrior1Small7,Life Regeneration,-18305.1,4371.46,77,6,43,False,False,False
29323,AscendancyWarrior1Small8,Armour,-18659.6,3757.32,77,6,53,False,False,False
32534,AscendancyWarrior1Start,Titan,-18967,4344.19,77,9,96,False,False,False
12000,AscendancyWarrior1Notable7,Mysterious Lineage,-17758.3,4687.11,78,0,0,True,False,False
59372,AscendancyWarrior1Notable4,Crushing Impacts,-17718,4045.96,79,0,0,True,False,False
56842,AscendancyWarrior1Small4,Stun Buildup,-17364.3,4461.71,80,0,0,False,False,False
10763,,,-18101.5,-6427.17,81,6,50,False,False,False
48905,,,-17386.2,-7549.93,81,6,71,False,False,False
21448,,,-17735.7,-6470.12,81,4,48,False,False,False
56468,,,-17313.1,-6226.12,81,4,36,False,False,False
27155,,,-17270.6,-7200.27,81,4,1,False,False,False
7659,,,-16832.5,-6798.87,81,4,16,False,False,False
59905,,,-17455.1,-6632.12,81,2,16,False,False,False
65044,,,-17270.7,-6872.54,81,2,1,False,False,False
31686,,,-18139.4,-6859.82,81,6,56,False,False,False
51122,,,-17794.3,-7401.39,81,6,65,False,False,False
12040,,,-17970.1,-6714.12,81,5,54,False,False,False
41624,,,-17557.1,-6291.5,81,4,42,False,False,False
55300,,,-17590.8,-7309.57,81,5,67,False,False,False
51742,,,-16968,-7059.19,81,4,9,False,False,False
38100,,,-17771.7,-6881.03,81,4,58,False,False,False
48936,,,-17658.2,-7059.19,81,4,63,False,False,False
950,,,-18039.7,-7133.62,81,6,60,False,False,False
20041,,,-17628.4,-2466.06,82,6,48,False,False,False
33582,,,-17215.4,-2511.74,82,4,44,False,False,False
13752,,,-16588.1,-2511.74,82,4,28,False,False,False
31579,,,-17118.3,-3010.56,82,7,20,False,False,False
19259,,,-16685.3,-2760.56,82,7,8,False,False,False
60599,,,-16817,-3366.15,82,4,2,False,False,False
35388,,,-16413.8,-2885.56,82,4,18,False,False,False
39772,,,-16901.8,-3724.56,82,6,0,False,False,False
55382,,,-17740.8,-2885.56,82,6,54,False,False,False
44207,,,-17387.9,-2928.1,82,4,55,False,False,False
59091,,,-16859.2,-2399.42,82,4,35,False,False,False
39614,,,-17324.4,-3129.56,82,4,60,False,False,False
12816,,,-16901.8,-2885.56,82,0,0,False,False,False
6830,,,-17145.8,-3308.19,82,4,66,False,False,False
2573,,,-16527.9,-3199.25,82,4,10,False,False,False
35311,,,-17321.3,-3612.16,82,6,66,False,False,False
28429,,,-17628.4,-3305.06,82,6,60,False,False,False
40246,,,-17594.8,9160.39,83,6,60,False,False,False
28539,,,-16868.2,8740.89,83,6,0,False,False,False
31425,,,-17035.2,9290.64,83,3,22,False,False,False
21343,,,-16691.4,9403.12,83,7,3,False,False,False
4615,,,-16579,9746.89,83,3,8,False,False,False
65098,,,-16868.2,10418.9,83,6,36,False,False,False
44561,,,-16211.2,9579.89,83,5,18,False,False,False
6207,,,-16057.8,9362.75,83,6,15,False,False,False
14143,,,-17707.2,9579.89,83,6,54,False,False,False
36598,,,-17287.7,8853.3,83,6,66,False,False,False
6799,,,-17202.2,9579.89,83,3,18,False,False,False
40358,,,-17084.7,9704.89,83,7,16,False,False,False
12261,,,-17035.2,9869.15,83,3,14,False,False,False
43012,,,-17287.7,10306.5,83,6,42,False,False,False
21651,,,-16539.7,10148.9,83,5,30,False,False,False
25495,,,-16275,10173.2,83,6,27,False,False,False
54579,,,-17594.8,9999.39,83,6,48,False,False,False
34881,,,-16418.4,7134.42,84,6,60,False,False,False
8532,,,-15691.8,6714.92,84,6,0,False,False,False
31553,,,-16114.4,7309.92,84,4,60,False,False,False
12389,,,-15691.8,7219.92,84,3,0,False,False,False
14199,,,-15691.8,7553.92,84,0,0,False,False,False
42816,,,-15269.2,7797.92,84,4,24,False,False,False
62672,,,-15691.8,8392.92,84,6,36,False,False,False
13434,,,-14965.2,7973.42,84,6,24,False,False,False
33810,,,-16530.8,7553.92,84,6,54,False,False,False
12004,,,-16111.3,6827.32,84,6,66,False,False,False
28460,,,-16177.9,7596.45,84,4,53,False,False,False
13216,,,-15935.8,7131.29,84,4,66,False,False,False
28814,,,-16114.4,7797.92,84,4,48,False,False,False
41136,,,-15935.8,7976.54,84,4,42,False,False,False
65136,,,-16111.3,8280.51,84,6,42,False,False,False
9842,,,-15272.3,8280.51,84,6,30,False,False,False
16732,,,-16418.4,7973.42,84,6,48,False,False,False
31558,,,-15271.4,9073.93,85,6,60,False,False,False
18654,,,-14544.8,8654.43,85,6,0,False,False,False
47952,,,-14377.9,9034.86,85,4,4,False,False,False
63748,,,-15162.2,9268.73,85,5,58,False,False,False
12826,,,-14987.1,9287.2,85,4,59,False,False,False
18068,,,-14544.8,9981.43,85,4,36,False,False,False
23860,,,-14544.8,10332.4,85,6,36,False,False,False
23647,,,-13818.2,9912.93,85,6,24,False,False,False
21773,,,-15380.6,9566.56,85,6,53,False,False,False
12411,,,-14964.3,8766.84,85,6,66,False,False,False
30817,,,-14788.8,9070.81,85,4,66,False,False,False
47642,,,-15191.8,9607.52,85,5,52,False,False,False
38626,,,-15003.4,9660.34,85,4,50,False,False,False
11674,,,-14858.5,9867.26,85,4,44,False,False,False
52088,,,-14964.3,10220,85,6,42,False,False,False
61057,,,-14125.3,10220,85,6,30,False,False,False
51916,,,-15271.4,9912.93,85,6,48,False,False,False
58058,oracle_bow_mastery1,Bow Mastery,-12135.7,-1230.15,86,0,0,False,False,False
21218,oracle_bow_movement1,Bow Damage,-11813,-1316.59,86,3,5,False,False,False
60708,oracle_bow_movement2,Bow Damage,-12458.3,-1143.7,86,3,17,False,False,False
45226,oracle_bow_movement3,Bow Damage,-11713,-986.145,86,4,24,False,False,False
11666,oracle_bow_movement4_,Reduced Movement Penalty,-12294.1,-1187.7,86,2,17,False,False,False
13950,oracle_bow_movement5,Reduced Movement Penalty,-11977.2,-1272.59,86,2,5,False,False,False
7066,oracle_bow_movement6,Bow Attack Speed,-11891.7,-1652.77,86,4,6,False,False,False
23932,oracle_bow_movement7_,Bow Attack Speed,-12305.7,-1864.76,86,5,69,False,False,False
8423,oracle_bow_movement8,Bow Attack Speed,-12558.3,-1474.15,86,4,60,False,False,False
17894,oracle_bow_movement9,Her Final Bite,-12379.7,-807.525,86,4,42,True,False,False
47753,fire48,Fire Penetration,-11896.8,-1926.84,87,0,0,False,False,False
18353,oracle_rust_king1,Physical and Lightning Damage,-11017.2,962.236,88,6,20,False,False,False
42762,oracle_rust_king2,Physical Damage,-12243.2,536.64,88,4,61,False,False,False
11984,oracle_rust_king3,Physical Damage,-11563.5,416.799,88,4,7,False,False,False
20496,oracle_rust_king4,Physical Damage,-11509.4,816.545,88,3,6,False,False,False
3544,oracle_rust_king5_,Lightning Damage,-11626.9,941.545,88,7,8,False,False,False
19953,oracle_rust_king6,Lightning Damage,-11718.4,600.039,88,7,2,False,False,False
50142,oracle_rust_king7,Lightning Damage,-12302,649.639,88,4,58,False,False,False
58197,oracle_rust_king8,Unquenchable Iron,-12570,397.045,88,6,60,True,False,False
35980,oracle_rust_king_mastery1,Lightning Mastery,-11843.4,816.545,88,0,0,False,False,False
36025,oracle_big_family1,Minion Damage,-11263.1,-4986.2,89,6,30,False,False,False
57079,oracle_big_family10,Known by All,-11113.6,-6041.29,89,5,12,True,False,False
44309,oracle_big_family2_,Companion Damage,-11625.3,-5058.29,89,5,35,False,False,False
44485,oracle_big_family3,Companion Damage,-11960.3,-5117.35,89,5,41,False,False,False
829,oracle_big_family4_,Minion Duration,-11144.4,-5335.96,89,5,25,False,False,False
19966,oracle_big_family5,Minion Duration,-11028.1,-5655.53,89,5,19,False,False,False
43385,oracle_big_family6,Minion Damage,-11932.6,-5712.79,89,7,18,False,False,False
22221,oracle_big_family7,Minion Damage,-11557.6,-5929.3,89,7,2,False,False,False
7553,oracle_big_family8,Trusted Partner,-12251.6,-5384.29,89,5,48,True,False,False
64139,oracle_big_family9,Friend to Many,-11600.6,-5570.77,89,2,10,True,False,False
15842,oracle_big_family_mastery1__,Minion Mastery,-11515.6,-5423.54,89,3,10,False,False,False
38320,mastery_fire122,Fire Mastery,-11504.9,-1807.32,90,0,0,False,False,False
28201,oracle_crab_claw1,Armour and Block Chance,-10909.3,-3219.7,91,4,21,False,False,False
56174,oracle_crab_claw2,Armour,-11058.1,-3432.45,91,3,5,False,False,False
1887,oracle_crab_claw3,Armour,-11213.7,-3635.26,91,3,2,False,False,False
10713,oracle_crab_claw4__,Armour,-11467.2,-3668.62,91,3,23,False,False,False
16615,oracle_crab_claw5,Unmoving Craiceann,-11803.3,-3590,91,4,60,True,False,False
10636,oracle_crab_claw6,Block Chance,-11144.5,-3109.83,91,3,9,False,False,False
38697,oracle_crab_claw7,Block Chance,-11380.7,-3012,91,3,12,False,False,False
20391,oracle_crab_claw8,Block Chance,-11616.9,-3109.83,91,3,15,False,False,False
16947,oracle_crab_claw9_,Shelter from the Rain,-11868.7,-3346,91,4,54,True,False,False
18713,oracle_crab_claw_mastery1,Armour and Energy Shield Mastery,-11380.7,-3346,91,0,0,False,False,False
32845,ignite_mitigation1,Fire Damage,-11338.9,-1393.8,92,5,36,False,False,False
23630,ignite_mitigation13,Self Immolation,-11338.9,-2538.8,92,4,0,True,False,False
64819,ignite_mitigation2,Fire Damage and Armour ,-11761.6,-1806.8,92,4,48,False,False,False
31746,ignite_mitigation3,Fire Penetration,-10916.3,-1806.8,92,4,24,False,False,False
51868,ignite_mitigation4,Molten Carapace,-11761.2,-2554.1,92,5,64,True,False,False
19794,ignite_mitigation5,Ignite Magnitude on You,-11505.9,-2340.06,92,3,22,False,False,False
17885,ignite_mitigation7,Ignite Magnitude on You,-11171.9,-2340.06,92,3,2,False,False,False
11392,ignite_mitigation8,Molten Being,-10916.6,-2554.1,92,5,8,True,False,False
65,chill_and_freeze19_,Freeze Buildup,-10952.1,-597.249,93,2,7,False,False,False
36504,chill_and_freeze20,Freeze Buildup,-11068.1,-481.283,93,2,11,False,False,False
55260,chill_and_freeze21,Freeze Threshold,-11153,-798.107,93,2,23,False,False,False
19751,chill_and_freeze22,Freeze Threshold,-11269,-682.141,93,2,19,False,False,False
15698,chill_and_freeze23,Freeze Buildup,-10933.8,-816.472,93,7,3,False,False,False
35618,chill_and_freeze25,Cold Coat,-11287.3,-462.918,93,7,15,True,False,False
28589,getting_hit1,Armour if Hit,-11158.6,1108.17,94,3,23,False,False,False
7395,getting_hit10,Retaliation,-10905.2,1720.04,94,3,10,True,False,False
38670,getting_hit2,Armour if Hit,-11188.1,1314.82,94,2,21,False,False,False
30007,getting_hit3_,Thorns,-11113.2,1501.8,94,1,7,False,False,False
12565,getting_hit4_,Thorns and Block,-10749.6,1344.34,94,3,5,False,False,False
3245,getting_hit5,Thorns and Block,-10913.8,1473.23,94,2,7,False,False,False
